date;is_throttled;freq;temp;volt
Thu 26 Jan 20:17:04 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:17:06 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:17:08 CET 2023;throttled=0xe0008;1677Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:17:11 CET 2023;throttled=0xe0008;1677Mhz;temp=84.2'C;volt=0.8700V
Thu 26 Jan 20:17:13 CET 2023;throttled=0xe0006;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:17:15 CET 2023;throttled=0xe0006;1726Mhz;temp=83.2'C;volt=0.8700V
Thu 26 Jan 20:17:17 CET 2023;throttled=0xe0008;1677Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:17:19 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:17:22 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:17:24 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8700V
Thu 26 Jan 20:17:26 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:17:28 CET 2023;throttled=0xe0008;1677Mhz;temp=85.2'C;volt=0.8700V
Thu 26 Jan 20:17:30 CET 2023;throttled=0xe0008;1531Mhz;temp=85.2'C;volt=0.8876V
Thu 26 Jan 20:17:33 CET 2023;throttled=0xe0008;1531Mhz;temp=85.2'C;volt=0.8768V
Thu 26 Jan 20:17:35 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:17:37 CET 2023;throttled=0xe0006;1580Mhz;temp=83.7'C;volt=0.8984V
